Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima,Randomize,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,start_text.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,Stimulus.started,accept.started,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Kolibri,7,emo_mid,long_word,Thunfisch,9,ima_high,long_word,True,0,21,21,28,,,,,,376.05380190000005,376.05380190000005,"
Fisch",['return'],0,[46.64198329999999],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Säugetier,9,emo_mid,long_word,Fledermaus,10,ima_high,long_word,True,0,22,22,29,,,,,,423.7205601999999,423.7205601999999,"
Fledermaus",['return'],0,[5.375455400000192],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Hafer,5,emo_mid,short_word,Gras,4,ima_high,short_word,True,0,23,23,2,,,,,,430.1204482000003,430.1204482000003,Gras,['return'],0,[7.4400189999996655],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Lurch,5,emo_mid,short_word,Ratte,5,ima_high,short_word,True,0,24,24,13,,,,,,438.5870987000003,438.5870987000003,"
Ratte
",['return'],0,[5.117252699999881],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Geier,5,emo_mid,short_word,Motte,5,ima_high,short_word,True,0,25,25,17,,,,,,444.7369721,444.7369721,Motte,['return'],0,[10.855379600000106],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Dromedar,8,emo_mid,long_word,Rosenkohl,9,ima_high,long_word,True,0,26,26,26,,,,,,456.6035234000001,456.6035234000001,"
?",['return'],0,[6.092081199999939],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Kuh,4,emo_mid,short_word,Amsel,5,ima_high,short_word,True,0,27,27,9,,,,,,463.720562,463.720562,"
Amsel",['return'],0,[5.71135490000006],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Quitte,6,emo_mid,short_word,Bock,4,ima_high,short_word,True,0,28,28,30,,,,,,470.4536988,470.4536988,"
Bock",['return'],0,[3.554729199999656],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Meise,5,emo_mid,short_word,Frucht,6,ima_high,short_word,True,0,29,29,6,,,,,,475.03710649999994,475.03710649999994,"
F",['return'],0,[41.51531470000009],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Gaul,4,emo_mid,short_word,Ei,2,ima_high,short_word,True,0,30,30,23,,,,,,517.5703957999999,517.5703957999999,"
Ei",['return'],0,[3.893205499999567],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Habicht,7,emo_mid,long_word,Blutegel,8,ima_high,long_word,True,0,31,31,19,,,,,,522.4871969999999,522.4871969999999,"
Blutegel",['return'],0,[8.289332800000011],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Raupe,5,emo_mid,short_word,Fisch,5,ima_high,short_word,True,0,32,32,11,,,,,,531.7872707000001,531.7872707000001,"
Tiger",['return'],0,[6.733177199999773],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Krokodil,8,emo_mid,long_word,Seeigel,7,ima_high,long_word,True,0,33,33,34,,,,,,539.5370983000003,539.5370983000003,"
Seeigel",['return'],0,[9.224255900000117],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Eidechse,8,emo_mid,long_word,Stinktier,9,ima_high,long_word,True,0,34,34,31,,,,,,549.7870845000002,549.7870845000002,"
Stinktier",['return'],0,[9.372753900000134],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Wolf,4,emo_mid,short_word,Buche,5,ima_high,short_word,True,0,35,35,27,,,,,,560.1870488,560.1870488,"
Buche",['return'],0,[2.781524300000001],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
,,,,,,,,,,,,,,,,,,,,,,,,,562.9871069999999,569.9869776,,,,,,
