Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima,Randomize,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,start_text.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,Stimulus.started,accept.started,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Mammut,6,emo_mid,short_word,Otter,5,ima_high,short_word,True,0,21,21,33,,,,,,292.34207450000395,292.34207450000395,Biber,['return'],0,[2.440807799997856],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Languste,8,emo_mid,long_word,Getreide,8,ima_high,long_word,True,0,22,22,21,,,,,,295.7921432000003,295.7921432000003,"
Getreide",['return'],0,[5.422867400004179],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Kiwi,4,emo_mid,short_word,Reptil,6,ima_high,short_word,True,0,23,23,1,,,,,,302.24216909999086,302.24216909999086,"
Reptilien",['return'],0,[4.412281900004018],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Säugetier,9,emo_mid,long_word,Fledermaus,10,ima_high,long_word,True,0,24,24,29,,,,,,307.67563230000087,307.67563230000087,"
Fledermaus",['return'],0,[3.042679500009399],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Eidechse,8,emo_mid,long_word,Stinktier,9,ima_high,long_word,True,0,25,25,31,,,,,,311.7421745000029,311.7421745000029,"
Stinktier",['return'],0,[10.928498299996136],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Walross,7,emo_mid,long_word,Schlange,8,ima_high,long_word,True,0,26,26,25,,,,,,323.69217670000216,323.69217670000216,"
Schlange",['return'],0,[3.5384000999911223],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Kolibri,7,emo_mid,long_word,Thunfisch,9,ima_high,long_word,True,0,27,27,28,,,,,,328.24210609999136,328.24210609999136,"
Thunfisch",['return'],0,[3.3723659999959636],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Spore,5,emo_mid,short_word,Bulle,5,ima_high,short_word,True,0,28,28,0,,,,,,332.6422989999992,332.6422989999992,"
Bullen",['return'],0,[17.5645821000071],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Geier,5,emo_mid,short_word,Motte,5,ima_high,short_word,True,0,29,29,17,,,,,,351.2257399999944,351.2257399999944,"
Motte",['return'],0,[3.077061000003596],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Maikäfer,8,emo_mid,long_word,Sellerie,8,ima_high,long_word,True,0,30,30,12,,,,,,355.3256590999954,355.3256590999954,"
",['return'],0,[2.9929001000127755],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Raupe,5,emo_mid,short_word,Fisch,5,ima_high,short_word,True,0,31,31,11,,,,,,359.3423072000005,359.3423072000005,"
Kobra",['return'],0,[4.912048199999845],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Lorbeer,7,emo_mid,long_word,Walnuss,7,ima_high,long_word,True,0,32,32,4,,,,,,365.275784700003,365.275784700003,"
Walnuss",['return'],0,[4.94656440000108],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Barsch,6,emo_mid,short_word,Tiger,5,ima_high,short_word,True,0,33,33,16,,,,,,371.24227339999925,371.24227339999925,"
Maulwurf",['return'],0,[7.076111599992146],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Habicht,7,emo_mid,long_word,Blutegel,8,ima_high,long_word,True,0,34,34,19,,,,,,379.34199230000377,379.34199230000377,"
Blutegel",['return'],0,[6.096329799998784],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Zeder,5,emo_mid,short_word,Ente,4,ima_high,short_word,True,0,35,35,24,,,,,,386.4591336000012,386.4591336000012,"

",['return'],0,[14.084100800013402],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
,,,,,,,,,,,,,,,,,,,,,,,,,400.57579519999854,407.5755594999937,,,,,,
