Word1,Emo_condition,Word2,Ima_condition,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,start_text.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,Stimulus.started,accept.started,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Mitte,emo_mid,Kaktus,ima_high,0,33,33,33,,,,,,215.5401010000005,215.5401010000005,"
Kaktus",['return'],0,[3.440511200000401],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Protokoll,emo_mid,Spatz,ima_high,0,34,34,34,,,,,,219.9900591000005,219.9900591000005,"
???
",['return'],0,[3.0865298000007897],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Masche,emo_mid,Fleck,ima_high,0,35,35,35,,,,,,224.10684009999932,224.10684009999932,???,['return'],0,[4.23349430000053],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Maurer,emo_mid,Krone,ima_high,0,36,36,36,,,,,,229.35686870000063,229.35686870000063,"
Krone",['return'],0,[2.472127700000783],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Gürtel,emo_mid,Strohhut,ima_high,0,37,37,37,,,,,,232.856963799999,232.856963799999,"
Strohhut",['return'],0,[3.57974650000142],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Kasper,emo_mid,Topflappen,ima_high,0,38,38,38,,,,,,237.4400673,237.4400673,"
Topflappen",['return'],0,[6.356461999999738],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Küken,None,Mai,None,0,39,39,39,,,,,,244.82363579999947,244.82363579999947,"
Mai
",['return'],0,[1.8843804999996792],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Sirene,None,Ergänzung,None,0,40,40,40,,,,,,247.7236266,247.7236266,Ergänzung,['return'],0,[15.976664300000266],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Eisdiele,None,Offenheit,None,0,41,41,41,,,,,,264.723657999999,264.723657999999,"
Offenheit",['return'],0,[4.640088300000571],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
,,,,,,,,,,,,,,,,,,,,269.3901795999991,,,,,,
