WORD,IM_Y_M_N,IM_Y_F_N,IM_O_M_N,IM_O_F_N,IM_Y_M_MEAN,IM_Y_F_MEAN,IM_O_M_MEAN,IM_O_F_MEAN,IM_Y_M_SD,IM_Y_F_SD,IM_O_M_SD,IM_O_F_SD,IM_Y_N,IM_O_N,IM_Y_MEAN,IM_O_MEAN,IM_Y_SD,IM_O_SD,EM_Y_M_N,EM_Y_F_N,EM_O_M_N,EM_O_F_N,EM_Y_M_MEAN,EM_Y_F_MEAN,EM_O_M_MEAN,EM_O_F_MEAN,EM_Y_M_SD,EM_Y_F_SD,EM_O_M_SD,EM_O_F_SD,EM_Y_N,EM_O_N,EM_Y_MEAN,EM_O_MEAN,EM_Y_SD,EM_O_SD,F_Unknown_Y,F_Unknown_O,Kategorie,WORD_length,length_group,Is_plant
Aal,11,10,12,10,90.55,93.4,97.33,90.5,12.3,12.3,3.26,14.79,21,22,91.9,94.23,12.08,10.56,10,8,9,10,22.6,-15.13,45.44,27.8,37.05,24.1,27.38,51.56,18,19,5.83,36.16,36.58,41.77,0.0,0.0,nature_based_non_human,3,short_word,
Aas,10,10,13,11,73.1,57.5,80.69,59.64,20.44,33.55,22.13,34.92,20,24,65.3,71.04,28.2,30.01,10,9,11,8,-49.7,-49.0,-49.09,-81.5,23.77,27.46,34.06,21.04,19,19,-49.37,-62.74,24.86,32.97,0.0,0.0,,3,short_word,
Abend,10,11,10,12,53.8,52.27,59.9,74.08,28.96,23.63,25.21,25.97,21,22,53.0,67.64,25.63,26.04,8,10,8,11,46.13,40.2,42.13,56.55,16.84,34.42,26.29,25.94,18,19,42.83,50.47,27.44,26.39,0.0,0.0,,5,short_word,
Abendbrot,9,11,13,10,64.89,62.64,84.85,82.5,18.72,14.12,21.24,21.13,20,23,63.65,83.83,15.93,20.74,8,11,11,9,35.5,23.91,66.64,49.67,21.94,24.28,22.06,36.59,19,20,28.79,59.0,23.44,29.92,0.0,0.0,,9,long_word,
Abfall,8,10,13,9,73.38,77.8,67.46,60.89,28.84,23.41,27.28,30.23,18,22,75.83,64.77,25.26,28.0,10,8,8,11,-49.1,-28.13,-43.88,-46.91,24.75,15.05,34.31,25.5,18,19,-39.78,-45.63,23.08,28.66,0.0,0.0,,6,short_word,
Abgrund,11,9,11,11,72.27,61.33,72.64,68.64,23.04,9.33,24.48,30.41,20,22,67.35,70.64,18.63,27.01,9,9,8,11,-41.22,-53.0,-57.75,-59.55,50.04,33.07,22.59,35.79,18,19,-47.11,-58.79,41.59,30.18,0.0,0.0,,7,long_word,
Abhang,11,8,12,11,64.09,50.5,88.67,74.45,36.02,13.73,12.83,27.1,19,23,58.37,81.87,29.01,21.65,10,8,8,11,-14.8,-22.38,-14.63,-17.82,31.44,37.31,26.42,51.2,18,19,-18.17,-16.47,33.34,41.6,0.0,0.0,,6,short_word,
Abnahme,11,10,13,10,23.64,20.6,27.38,44.5,22.2,20.53,22.0,25.72,21,23,22.19,34.83,20.94,24.7,9,9,10,9,-21.67,-13.33,14.6,-1.56,27.35,34.16,18.72,26.51,18,19,-17.5,6.95,30.32,23.59,0.0,0.0,,7,long_word,
Abrechnung,10,9,13,10,47.1,28.0,58.08,52.5,30.52,29.42,34.39,35.85,19,23,38.05,55.65,30.77,34.33,11,8,9,10,-27.55,-48.13,2.89,1.7,40.62,30.88,8.15,27.57,19,19,-36.21,2.26,37.37,20.25,0.0,0.0,,10,long_word,
Abruf,14,15,15,17,13.36,22.93,34.07,31.88,10.92,19.48,28.51,25.11,29,32,18.31,32.91,16.39,26.34,8,10,9,10,-18.75,-11.1,4.0,1.7,27.01,21.07,13.89,7.7,18,19,-14.5,2.79,23.47,10.81,0.0,0.0,,5,short_word,
Absicht,10,9,12,11,14.4,12.0,18.92,42.18,17.12,13.16,21.43,31.69,19,23,13.26,30.04,15.0,28.76,8,10,9,10,-2.75,-1.4,6.78,8.3,30.09,44.1,8.57,9.99,18,19,-2.0,7.58,37.46,9.12,0.0,0.0,,7,long_word,
Absprache,10,8,13,9,27.9,19.25,45.0,35.11,28.2,13.36,34.21,26.99,18,22,24.06,40.95,22.67,31.16,10,8,10,9,-6.2,11.63,6.6,16.33,22.82,28.05,7.65,33.38,18,19,1.72,11.21,26.13,23.44,0.0,0.0,,9,long_word,
Abstimmung,11,11,13,9,40.91,34.36,43.77,42.33,31.34,22.94,34.49,31.66,22,22,37.64,43.18,27.01,32.59,10,9,11,8,15.5,13.67,17.82,20.0,23.42,27.77,21.22,31.47,19,19,14.63,18.74,24.86,25.23,0.0,0.0,,10,long_word,
Abwasch,9,9,13,10,62.78,76.89,82.0,87.1,35.75,14.11,25.77,18.53,18,23,69.83,84.22,27.35,22.57,9,10,10,9,-47.22,-33.1,-24.5,-16.44,38.16,31.25,33.74,35.05,19,19,-39.79,-20.68,34.47,33.65,0.0,0.0,,7,long_word,
Abweichung,9,11,12,11,24.44,17.91,36.17,41.18,22.12,21.94,28.32,32.48,20,23,20.85,38.57,21.69,29.78,9,10,9,10,-4.0,-14.3,-8.89,-14.9,42.95,14.39,25.16,17.08,19,19,-9.42,-12.05,30.84,20.9,0.0,0.0,,10,long_word,
Abwertung,9,11,12,11,27.56,15.09,34.58,33.73,27.6,14.65,33.86,32.38,20,23,20.7,34.17,21.77,32.4,10,9,9,10,-47.4,-51.67,-31.67,-29.1,20.86,26.42,30.5,28.33,19,19,-49.42,-30.32,23.08,28.58,0.0,0.0,,9,long_word,
Achsel,11,10,13,10,72.36,77.0,74.0,83.9,21.34,26.54,18.54,18.48,21,23,74.57,78.3,23.46,18.77,10,9,10,9,-3.6,-7.0,0.8,13.56,23.17,31.21,20.27,16.79,19,19,-5.21,6.84,26.54,19.33,0.0,0.0,,6,short_word,
Achterbahn,10,9,12,10,85.6,91.78,93.67,86.4,14.37,10.57,8.32,15.0,19,22,88.53,90.36,12.76,12.1,9,10,8,11,10.56,11.5,-19.88,-18.27,34.79,52.05,41.47,38.32,19,19,11.05,-18.95,43.51,38.54,0.0,0.0,,10,long_word,
Acker,10,10,11,12,75.5,83.2,85.64,84.42,28.21,12.28,15.32,16.76,20,23,79.35,85.0,21.54,15.74,8,11,10,9,24.5,14.55,36.6,17.89,23.42,18.25,26.34,9.96,19,19,18.74,27.74,20.59,21.98,0.0,0.0,,5,short_word,
Ader,11,9,12,11,86.91,74.22,86.17,93.0,15.98,19.82,14.5,11.77,20,23,81.2,89.43,18.49,13.43,9,9,9,10,0.78,-10.44,-1.0,24.7,24.47,18.2,24.46,29.08,18,19,-4.83,12.53,21.7,29.37,0.0,0.0,,4,short_word,
Adler,10,9,11,12,87.9,90.33,94.73,87.75,11.5,12.45,6.8,14.3,19,23,89.05,91.09,11.69,11.66,9,9,10,9,54.89,19.67,51.3,50.56,22.79,27.22,44.17,23.65,18,19,37.28,50.95,30.36,34.99,0.0,0.0,nature_based_non_human,5,short_word,
Admiral,10,10,13,9,62.5,54.3,73.08,68.56,34.4,22.89,28.73,35.68,20,22,58.4,71.23,28.75,31.01,9,9,9,10,-22.0,-14.0,1.89,2.0,43.79,31.69,25.2,15.97,18,19,-18.0,1.95,37.31,20.24,0.0,0.0,nature_based_non_human,7,long_word,
Affe,10,10,14,8,93.8,94.2,94.64,92.38,6.99,7.11,11.61,10.74,20,22,94.0,93.82,6.87,11.1,10,9,10,9,33.0,28.89,30.7,28.44,35.6,36.45,31.45,31.21,19,19,31.05,29.63,35.05,30.47,0.0,0.0,nature_based_non_human,4,short_word,
Affekt,9,12,13,10,14.11,21.67,30.15,31.2,13.83,20.51,33.44,31.12,21,23,18.43,30.61,17.96,31.72,8,10,9,10,-39.25,-17.0,-32.0,-35.1,28.28,24.97,41.98,36.96,18,19,-26.89,-33.63,28.09,38.32,0.0,0.0,,6,short_word,
Agent,10,9,11,12,51.0,50.67,66.18,62.42,30.91,27.4,35.67,27.93,19,23,50.84,64.22,28.49,31.18,10,8,9,10,-1.4,0.0,-41.33,-55.2,35.14,24.92,35.14,34.5,18,19,-0.78,-48.63,30.16,34.56,0.0,0.0,nature_based_human,5,short_word,
Ahnung,11,9,12,11,28.82,9.67,22.75,36.27,22.53,10.94,21.97,31.51,20,23,20.2,29.22,20.33,27.21,9,9,9,11,7.89,33.11,3.56,7.09,30.78,29.98,27.51,22.29,18,20,20.5,5.5,32.21,24.15,0.0,0.0,,6,short_word,
Ahorn,12,8,13,10,85.67,70.38,88.85,78.5,12.18,26.47,16.1,25.64,20,23,79.55,84.35,20.08,20.92,9,9,9,10,36.56,30.44,51.11,38.6,25.35,38.8,24.91,28.1,18,19,33.5,44.53,31.95,26.68,0.0,0.0,nature_based_non_human,5,short_word,plant
Akrobat,10,9,13,11,60.2,66.56,86.0,88.73,26.12,25.12,14.26,13.33,19,24,63.21,87.25,25.15,13.61,9,9,9,10,14.89,36.11,18.56,31.3,35.0,34.53,30.1,38.2,18,19,25.5,25.26,35.45,34.28,0.04,0.0,nature_based_human,7,long_word,
Akt,10,10,11,12,36.8,46.7,60.64,54.25,32.05,34.61,36.83,37.4,20,23,41.75,57.3,32.86,36.42,10,8,9,11,23.9,34.0,27.67,20.09,50.6,30.73,20.62,28.91,18,20,28.39,23.5,42.08,25.17,0.0,0.0,,3,short_word,
Akte,10,10,11,12,67.0,81.5,78.55,76.25,25.64,12.06,21.0,26.14,20,23,74.25,77.35,20.87,23.31,9,10,10,10,-28.0,-11.4,-21.9,1.7,40.02,16.65,35.71,25.3,19,20,-19.26,-10.1,30.38,32.47,0.0,0.0,,4,short_word,
Aktion,11,8,11,12,26.18,25.13,28.73,49.83,30.35,14.63,20.5,37.66,19,23,25.74,39.74,24.4,31.88,10,8,10,9,14.4,24.13,8.3,12.11,20.59,23.61,24.78,19.64,18,19,18.72,10.11,21.88,21.96,0.0,0.0,,6,short_word,
Akustik,10,10,13,10,39.2,31.1,43.77,45.2,35.24,28.2,38.94,31.07,20,23,35.15,44.39,31.34,34.97,10,9,9,10,42.9,29.0,21.78,32.1,34.86,29.94,32.68,33.28,19,19,36.32,27.21,32.51,32.5,0.0,0.0,,7,long_word,
Albernheit,12,10,12,11,23.0,40.2,33.25,42.91,19.79,29.32,26.31,23.6,22,23,30.82,37.87,25.5,24.98,10,9,8,11,22.9,26.11,-7.25,-0.36,50.63,39.24,27.2,23.64,19,19,24.42,-3.26,44.37,24.7,0.0,0.0,,10,long_word,
Album,10,11,13,9,73.1,76.73,87.31,81.56,25.34,20.18,15.5,19.4,21,22,75.0,84.95,22.27,17.0,9,9,7,12,23.11,45.67,48.71,33.0,32.62,32.79,30.85,24.45,18,19,34.39,38.79,33.79,27.26,0.0,0.0,,5,short_word,
Alge,8,11,13,10,67.0,75.55,76.23,84.7,19.86,19.09,31.72,14.14,19,23,71.95,79.91,19.36,25.48,8,10,10,9,-1.88,-9.2,6.8,-3.11,30.84,20.19,42.95,28.26,18,19,-5.94,2.11,24.93,36.1,0.0,0.0,nature_based_non_human,4,short_word,plant
Algebra,9,10,12,11,33.89,38.9,49.92,65.91,28.59,23.99,29.45,36.54,19,23,36.53,57.57,25.64,33.28,9,9,9,10,-23.33,-7.89,0.0,3.0,43.05,29.04,37.07,36.46,18,19,-15.61,1.58,36.5,35.75,0.0,0.0,,7,long_word,
Alkohol,10,11,12,10,61.8,75.73,53.42,78.8,34.28,18.66,30.62,23.64,21,22,69.1,64.95,27.45,29.97,9,9,10,9,-8.56,7.22,-55.6,-24.0,51.13,48.67,35.22,49.71,18,19,-0.67,-40.63,49.1,44.51,0.0,0.0,,7,long_word,
All,11,9,13,10,71.18,64.11,67.69,52.2,28.91,27.72,31.09,38.51,20,23,68.0,60.96,27.87,34.58,9,9,10,9,41.44,38.44,16.7,26.0,31.54,49.96,22.95,19.59,18,19,39.94,21.11,40.56,21.37,0.0,0.0,,3,short_word,
Allee,10,9,11,11,83.6,90.78,91.82,83.64,13.96,12.99,9.2,15.69,19,22,87.0,87.73,13.64,13.23,10,8,9,10,27.1,43.25,47.89,51.7,37.52,38.69,22.34,23.96,18,19,34.28,49.89,37.81,22.64,0.0,0.0,,5,short_word,
Alpen,10,11,11,12,87.4,77.0,91.82,80.92,10.27,19.11,12.81,19.46,21,23,81.95,86.13,16.07,17.17,9,10,8,11,48.22,50.2,71.88,39.82,36.96,37.76,26.64,46.75,19,19,49.26,53.32,36.35,41.89,0.0,0.0,,5,short_word,
Altar,12,8,10,12,86.67,82.75,95.0,92.17,16.05,14.57,6.04,10.25,20,22,85.1,93.45,15.2,8.53,7,12,10,10,-11.71,12.92,48.1,24.1,48.22,29.29,33.11,38.42,19,20,3.84,36.1,38.06,37.02,0.0,0.0,,5,short_word,
Alte,9,11,12,11,38.0,45.55,72.92,73.36,26.39,25.0,23.17,34.52,20,23,42.15,73.13,25.24,28.47,9,9,9,10,-24.44,-26.78,-1.0,22.1,21.05,33.81,32.52,37.1,18,19,-25.61,11.16,27.35,36.04,0.0,0.0,,4,short_word,
Amateur,11,8,12,11,31.09,27.88,43.17,59.82,27.41,18.6,36.02,32.26,19,23,29.74,51.13,23.55,34.56,11,8,9,10,2.0,-14.25,7.11,12.7,29.45,12.41,22.14,35.72,19,19,-4.84,10.05,24.69,29.39,0.0,0.0,nature_based_human,7,long_word,
Ambulanz,10,11,12,11,71.9,64.73,72.67,73.82,22.27,29.23,21.08,25.54,21,23,68.14,73.22,25.77,22.78,7,11,9,10,-28.0,-19.27,7.78,-10.6,31.49,29.53,52.49,54.83,18,19,-22.67,-1.89,29.7,53.07,0.0,0.0,,8,long_word,
Ameise,10,11,12,11,91.8,93.91,96.08,89.73,9.72,7.41,5.99,12.51,21,23,92.9,93.04,8.43,9.98,9,10,8,11,30.33,15.2,8.0,-9.91,17.61,33.54,54.94,42.91,19,19,22.37,-2.37,27.58,47.74,0.0,0.0,nature_based_non_human,6,short_word,
Amme,10,11,12,11,60.0,60.82,70.17,75.18,26.01,15.62,31.86,24.09,21,23,60.43,72.57,20.65,27.89,10,9,10,9,12.9,15.22,38.5,22.89,23.77,15.43,24.02,26.74,19,19,14.0,31.11,19.74,25.89,0.0,0.0,nature_based_human,4,short_word,
Ampel,10,11,12,11,92.8,96.36,96.08,88.64,8.42,2.8,6.37,13.22,21,23,94.67,92.52,6.26,10.69,10,9,9,10,-2.0,-2.11,29.89,17.1,22.26,18.12,33.14,20.43,19,19,-2.05,23.16,19.84,27.2,0.0,0.0,,5,short_word,
Amphore,10,8,10,11,65.2,52.5,69.1,57.82,32.64,31.26,33.94,37.39,18,21,59.56,63.19,31.76,35.36,11,8,7,11,28.36,14.63,25.43,17.45,27.39,30.78,24.9,33.55,19,18,22.58,20.56,28.88,29.95,0.04,0.07,,7,long_word,
Amsel,10,10,11,12,87.5,89.1,96.18,89.83,12.7,11.43,5.83,12.25,20,23,88.3,92.87,11.78,10.05,10,8,9,10,33.3,24.63,62.33,54.8,31.05,14.87,25.94,25.48,18,19,29.44,58.37,24.92,25.27,0.0,0.0,nature_based_non_human,5,short_word,
Amt,10,10,12,11,42.6,45.9,61.33,65.45,34.55,26.48,27.11,34.17,20,23,44.25,63.3,30.01,30.05,10,8,10,9,-25.3,-19.63,-11.5,-0.33,31.06,18.26,34.03,22.59,18,19,-22.78,-6.21,25.62,28.96,0.0,0.0,,3,short_word,
Amulett,10,9,11,11,78.9,82.0,83.18,75.64,20.09,20.77,26.43,24.39,19,22,80.37,79.41,19.9,25.12,9,10,9,10,15.22,34.7,14.22,36.2,22.34,33.5,51.05,38.77,19,19,25.47,25.79,29.71,45.13,0.0,0.0,,7,long_word,
Ananas,12,8,11,12,93.0,95.38,97.82,93.08,10.89,5.04,6.31,9.77,20,23,93.95,95.35,8.91,8.46,10,8,9,10,31.7,48.88,48.89,61.4,22.81,33.26,25.08,27.2,18,19,39.33,55.47,28.43,26.28,0.0,0.0,nature_based_non_human,6,short_word,plant
Anbetung,10,10,12,11,33.7,26.5,47.58,45.55,26.9,24.67,30.16,29.57,20,23,30.1,46.61,25.39,29.21,9,9,10,9,-24.33,6.11,16.1,-23.56,58.72,30.71,47.48,49.64,18,19,-9.11,-2.68,48.08,51.35,0.0,0.0,,8,long_word,
Änderung,10,10,12,12,15.2,17.3,33.75,48.75,14.02,19.82,32.33,35.71,20,24,16.25,41.25,16.74,34.18,9,10,9,10,10.56,14.3,-12.11,0.0,20.04,25.21,28.19,25.1,19,19,12.53,-5.74,22.36,26.58,0.0,0.0,,8,long_word,
Andeutung,12,9,11,11,16.5,13.44,26.09,22.27,17.92,9.53,34.5,23.65,21,22,15.19,24.18,14.67,28.93,10,9,9,10,-15.6,-13.0,-4.78,6.1,30.61,14.85,22.18,18.59,19,19,-14.37,0.95,23.84,20.56,0.0,0.0,,9,long_word,
Anfang,9,11,10,13,25.56,24.18,45.6,45.38,26.79,19.86,33.16,34.99,20,23,24.8,45.48,22.59,33.43,10,8,10,9,19.3,44.38,17.7,20.56,27.91,36.28,23.54,28.99,18,19,30.44,19.05,33.45,25.55,0.0,0.0,,6,short_word,
Anführer,10,10,12,11,58.2,42.0,61.33,57.36,30.86,22.15,27.73,32.71,20,23,50.1,59.43,27.43,29.58,10,9,9,11,-27.0,-24.78,-7.67,-9.91,23.65,25.76,22.16,20.3,19,20,-25.95,-8.9,23.99,20.61,0.0,0.0,nature_based_human,8,long_word,
Angabe,11,10,12,11,15.91,11.9,37.0,36.55,15.2,15.71,34.3,33.96,21,23,14.0,36.78,15.19,33.35,8,10,11,8,1.13,3.3,-35.36,-11.75,17.5,5.01,30.43,31.81,18,19,2.33,-25.42,11.86,32.43,0.0,0.0,,6,short_word,
Angeber,9,11,11,12,35.78,28.45,38.55,59.92,22.59,20.12,19.09,34.89,20,23,31.75,49.7,21.02,29.89,11,8,9,11,-44.36,-51.0,-44.67,-46.82,24.24,20.59,30.52,23.74,19,20,-47.16,-45.85,22.42,26.27,0.0,0.0,nature_based_human,7,long_word,
Angebot,11,9,13,10,38.18,23.11,37.38,48.6,26.4,20.16,33.35,32.99,20,23,31.4,42.26,24.44,32.93,7,11,10,9,21.71,19.91,18.7,30.67,25.0,18.25,16.06,27.4,18,19,20.61,24.37,20.43,22.37,0.0,0.0,,7,long_word,
Angel,12,10,12,11,87.25,92.4,94.25,87.45,12.3,7.99,7.37,20.02,22,23,89.59,91.0,10.65,14.88,8,11,9,10,33.63,6.0,12.44,13.8,36.29,35.63,36.66,19.63,19,19,17.63,13.16,37.6,28.12,0.0,0.0,,5,short_word,
Angriff,12,9,13,10,53.5,36.89,50.38,49.6,31.34,27.03,31.44,33.1,21,23,46.38,50.04,30.06,31.43,13,13,12,13,-43.54,-71.77,-79.92,-74.46,40.59,32.32,17.07,29.83,26,25,-57.65,-77.08,38.72,24.21,0.0,0.0,,7,long_word,
Angst,10,11,13,10,38.8,18.73,48.0,47.4,28.49,15.53,35.77,25.58,21,23,28.29,47.74,24.32,31.08,13,13,12,13,-63.77,-79.85,-63.67,-64.77,30.81,24.85,40.14,42.34,26,25,-71.81,-64.24,28.62,40.44,0.0,0.0,,5,short_word,
Anhänger,11,9,12,10,73.0,59.89,81.5,80.1,28.93,26.07,17.25,19.38,20,22,67.1,80.86,27.78,17.81,9,9,9,10,-4.89,-10.44,7.78,16.4,29.24,13.11,6.38,10.98,18,19,-7.67,12.32,22.17,9.89,0.0,0.0,nature_based_human,8,long_word,
Anker,8,10,12,10,84.13,88.8,97.08,78.3,23.68,12.58,3.63,18.7,18,22,86.72,88.55,17.9,15.76,10,8,10,9,23.4,18.63,29.0,12.33,28.63,25.34,25.76,12.11,18,19,21.28,21.11,26.54,21.68,0.0,0.0,,5,short_word,
Anlass,9,10,13,10,31.22,13.1,26.31,35.1,27.06,18.97,29.45,28.95,19,23,21.68,30.13,24.33,28.91,8,10,9,10,15.38,12.6,9.89,13.9,30.84,24.67,16.14,20.72,18,19,13.83,12.0,26.76,18.29,0.0,0.0,,6,short_word,
Anleitung,11,10,13,10,48.0,36.1,44.0,45.0,37.06,24.15,29.48,37.92,21,23,42.33,44.43,31.41,32.59,8,10,9,10,6.0,-2.3,34.44,19.6,28.17,36.1,36.26,27.0,18,19,1.39,26.63,32.17,31.73,0.0,0.0,,9,long_word,
Anmaßung,11,10,12,11,15.82,12.4,27.83,31.27,14.43,17.51,24.83,32.91,21,23,14.19,29.48,15.66,28.35,9,9,9,10,-57.78,-40.0,-41.67,-49.9,24.55,19.72,39.53,36.83,18,19,-48.89,-46.0,23.46,37.29,0.0,0.0,,8,long_word,
Anorak,9,11,13,10,91.56,87.27,94.77,90.6,9.0,12.66,7.68,12.99,20,23,89.2,92.96,11.1,10.28,7,11,8,11,32.43,31.82,36.25,39.82,17.8,36.84,32.77,28.98,18,19,32.06,38.32,30.17,29.79,0.0,0.0,,6,short_word,
Anordnung,11,8,11,12,31.55,22.25,41.73,40.58,22.41,12.46,32.27,32.33,19,23,27.63,41.13,19.02,31.56,8,11,8,11,-20.0,-12.09,-25.13,-7.73,56.26,17.64,34.7,33.54,19,19,-15.42,-15.05,37.68,34.22,0.0,0.0,,9,long_word,
Anregung,11,9,14,9,20.55,9.78,25.57,31.89,22.27,9.95,30.68,29.8,20,23,15.7,28.04,18.25,29.82,10,8,10,9,28.3,33.63,10.9,40.33,14.04,25.37,36.56,42.36,18,19,30.67,24.84,19.41,41.16,0.0,0.0,,8,long_word,
Anschein,10,10,11,12,10.0,18.3,18.09,26.42,7.9,10.5,17.59,24.89,20,23,14.15,22.43,10.0,21.64,10,9,8,11,-9.0,-5.0,-4.13,-11.64,19.47,16.37,6.45,30.53,19,19,-7.11,-8.47,17.69,23.42,0.0,0.0,,8,long_word,
Ansicht,11,9,11,11,29.36,18.67,47.91,46.91,29.36,18.85,30.94,32.55,20,22,24.55,47.41,25.16,31.0,11,8,8,11,15.55,16.13,14.63,22.27,14.0,18.46,19.21,24.99,19,19,15.79,19.05,15.54,22.48,0.0,0.0,,7,long_word,
Anspitzer,11,10,13,10,81.18,90.5,75.69,72.0,22.29,9.54,20.91,22.9,21,23,85.62,74.09,17.66,21.36,9,9,9,10,-7.0,-2.11,5.11,15.9,20.44,22.35,34.78,21.7,18,19,-4.56,10.79,20.93,28.35,0.0,0.0,,9,long_word,
Anspruch,12,8,12,11,16.33,18.63,19.67,30.45,20.94,14.54,18.6,28.18,20,23,17.25,24.83,18.25,23.76,7,11,9,10,-28.71,12.55,0.89,8.8,40.41,36.31,31.36,15.66,18,19,-3.5,5.05,42.19,24.01,0.0,0.0,,8,long_word,
Anstand,8,12,12,11,22.75,14.67,49.08,38.55,21.69,17.09,34.87,33.74,20,23,17.9,44.04,18.95,33.98,10,9,9,9,5.8,33.44,54.0,45.33,33.66,49.71,27.6,43.67,19,18,18.89,49.67,43.2,35.72,0.0,0.0,,7,long_word,
Antarktis,10,10,12,11,73.6,67.7,82.58,64.27,30.66,22.47,22.81,29.88,20,23,70.65,73.83,26.34,27.45,10,8,9,10,42.9,11.75,39.56,18.7,37.08,36.08,55.94,24.53,18,19,29.06,28.58,38.96,42.5,0.0,0.0,,9,long_word,
Anteil,9,10,12,11,27.89,24.3,31.25,43.18,30.37,20.22,29.09,32.46,19,23,26.0,36.96,24.85,30.65,9,10,10,9,14.67,3.3,8.3,7.0,21.73,11.57,15.33,19.79,19,19,8.68,7.68,17.63,17.09,0.0,0.0,,6,short_word,
Antenne,10,9,13,10,83.2,85.67,85.23,83.6,15.87,16.29,19.63,19.25,19,23,84.37,84.52,15.67,19.04,9,10,8,10,10.11,12.0,25.38,14.7,32.44,19.85,29.19,25.81,19,18,11.11,19.44,25.8,27.08,0.0,0.0,,7,long_word,
Antrieb,12,8,12,11,49.67,29.5,48.67,48.45,30.09,25.65,31.74,33.02,20,23,41.6,48.57,29.49,31.61,8,10,7,12,19.5,26.5,30.86,26.17,27.89,23.31,27.82,29.14,18,19,23.39,27.89,24.92,27.97,0.0,0.0,,7,long_word,
Antwort,12,8,12,10,24.33,11.25,52.33,42.1,28.83,7.21,38.12,32.29,20,22,19.1,47.68,23.31,35.14,9,9,9,10,21.56,33.78,12.67,26.9,20.91,27.86,20.25,28.69,18,19,27.67,20.16,24.71,25.44,0.0,0.03,,7,long_word,
Anwalt,10,9,11,12,61.6,49.22,57.73,78.92,26.96,15.29,27.97,17.68,19,23,55.74,68.78,22.53,25.08,9,9,9,10,-12.56,-0.11,9.22,8.2,36.0,34.85,45.8,27.69,18,19,-6.33,8.68,34.97,36.28,0.0,0.0,nature_based_human,6,short_word,
Anzug,11,10,12,10,82.82,91.6,94.33,93.6,16.82,6.47,5.88,6.74,21,22,87.0,94.0,13.43,6.14,10,8,8,11,15.3,25.88,30.25,27.73,40.64,31.22,28.2,21.7,18,19,20.0,28.79,36.12,23.93,0.0,0.0,,5,short_word,
Apfel,10,10,12,11,94.0,97.6,97.17,92.45,6.39,3.6,3.51,9.65,20,23,95.8,94.91,5.38,7.37,8,10,9,10,18.0,27.9,58.89,76.2,27.76,28.2,32.37,17.75,18,19,23.5,68.0,27.64,26.5,0.0,0.0,nature_based_non_human,5,short_word,plant
Apfelbaum,11,9,11,12,88.09,88.67,98.27,92.58,12.24,14.04,2.87,7.89,20,23,88.35,95.3,12.73,6.58,9,9,10,9,40.44,56.78,50.3,51.11,14.98,37.79,26.99,23.55,18,19,48.61,50.68,29.13,24.72,0.0,0.0,nature_based_non_human,9,long_word,plant
Apparat,11,9,12,11,44.45,49.11,74.75,76.36,20.73,27.99,20.18,25.07,20,23,46.55,75.52,23.7,22.14,8,10,8,11,6.0,-3.0,14.63,2.91,22.21,14.87,27.23,22.58,18,19,1.0,7.84,18.48,24.64,0.0,0.0,,7,long_word,
Aquarell,11,8,12,11,54.73,67.13,89.67,88.73,33.73,22.02,16.3,13.54,19,23,59.95,89.22,29.33,14.71,10,8,9,10,23.9,43.25,44.44,59.8,19.01,31.84,32.46,21.38,18,19,32.5,52.53,26.58,27.55,0.0,0.0,,8,long_word,
Araber,9,11,12,11,78.67,56.64,80.33,76.45,14.21,22.82,24.63,26.49,20,23,66.55,78.48,22.04,25.02,8,10,9,9,-25.63,-7.2,-22.56,-19.33,43.56,30.22,45.09,42.47,18,18,-15.39,-20.94,36.79,42.53,0.0,0.0,nature_based_non_human,6,short_word,
Arbeit,10,8,13,9,41.4,33.38,62.15,66.89,31.99,21.29,34.24,27.83,18,22,37.83,64.09,27.3,31.15,10,8,9,10,-19.6,3.38,32.78,53.8,41.67,24.8,45.75,29.39,18,19,-9.39,43.84,36.2,38.45,0.0,0.0,,6,short_word,
Arbeiter,10,11,14,9,60.1,56.18,80.43,76.67,26.72,20.52,26.26,29.24,21,23,58.05,78.96,23.15,26.87,9,9,8,11,11.67,-1.33,14.63,33.36,18.47,21.37,22.77,32.05,18,19,5.17,25.47,20.5,29.37,0.0,0.0,nature_based_human,8,long_word,
Arena,11,10,12,11,71.45,70.6,75.92,83.64,26.49,15.85,19.36,13.96,21,23,71.05,79.61,21.55,17.08,8,10,10,9,10.63,17.7,13.5,26.33,50.04,26.82,30.04,24.69,18,19,14.56,19.58,37.75,27.67,0.0,0.0,,5,short_word,
Ärger,12,7,11,11,35.42,32.57,28.36,34.0,21.29,29.82,20.14,32.7,19,22,34.37,31.18,23.98,26.66,9,9,10,9,-54.89,-57.33,-45.6,-67.44,34.75,30.06,27.79,20.37,18,19,-56.11,-55.95,31.55,26.38,0.0,0.0,,5,short_word,
Argument,11,10,13,9,12.55,11.0,26.15,29.44,18.07,15.33,23.13,24.62,21,22,11.81,27.5,16.42,23.23,8,10,11,8,15.75,13.4,20.82,18.13,19.42,35.99,16.35,16.57,18,19,14.44,19.68,29.03,16.04,0.0,0.0,,8,long_word,
