WORD,IM_Y_M_N,IM_Y_F_N,IM_O_M_N,IM_O_F_N,IM_Y_M_MEAN,IM_Y_F_MEAN,IM_O_M_MEAN,IM_O_F_MEAN,IM_Y_M_SD,IM_Y_F_SD,IM_O_M_SD,IM_O_F_SD,IM_Y_N,IM_O_N,IM_Y_MEAN,IM_O_MEAN,IM_Y_SD,IM_O_SD,EM_Y_M_N,EM_Y_F_N,EM_O_M_N,EM_O_F_N,EM_Y_M_MEAN,EM_Y_F_MEAN,EM_O_M_MEAN,EM_O_F_MEAN,EM_Y_M_SD,EM_Y_F_SD,EM_O_M_SD,EM_O_F_SD,EM_Y_N,EM_O_N,EM_Y_MEAN,EM_O_MEAN,EM_Y_SD,EM_O_SD,F_Unknown_Y,F_Unknown_O,Kategorie,WORD_length,length_group,Is_plant
Wäsche,10,11,12,11,68.9,80.09,82.83,87.27,27.03,13.13,19.99,12.42,21,23,74.76,84.96,21.16,16.59,10,8,9,10,0.6,12.13,25.89,28.8,15.71,39.44,33.03,24.65,18,19,5.72,27.42,28.39,28.12,0.0,0.0,,6,short_word,
Waschhaus,10,10,11,10,54.6,63.5,74.55,87.0,25.47,23.26,34.65,12.75,20,21,59.05,80.48,24.17,26.72,10,8,10,9,11.0,5.5,4.3,-9.89,13.64,21.69,30.9,32.38,18,19,8.56,-2.42,17.32,31.57,0.0,0.04,,9,long_word,
Wasser,10,11,12,11,83.0,88.36,94.0,91.73,17.43,25.44,8.14,14.16,21,23,85.81,92.91,21.63,11.2,11,8,10,9,48.18,33.13,56.9,58.11,33.11,33.49,32.8,29.6,19,19,41.84,57.47,33.22,30.46,0.0,0.0,,6,short_word,
Wasserhahn,11,9,11,12,87.82,91.89,97.82,86.5,10.46,12.94,2.96,18.91,20,23,89.65,91.91,11.5,14.71,9,10,10,9,5.44,9.4,26.8,16.56,16.48,13.28,32.12,17.27,19,19,7.53,21.95,14.6,26.0,0.0,0.0,,10,long_word,
Wasserwerk,10,11,12,10,74.7,62.64,76.08,77.0,14.69,15.91,28.8,26.39,21,22,68.38,76.5,16.18,27.08,9,10,9,10,1.11,-4.0,16.33,19.2,12.99,16.18,16.09,29.13,19,19,-1.58,17.84,14.58,23.27,0.0,0.0,,10,long_word,
Watte,11,10,13,10,90.82,90.3,90.62,85.7,7.83,10.2,12.0,12.19,21,23,90.57,88.48,8.81,12.06,9,9,8,11,27.89,21.78,17.88,34.0,19.88,25.22,17.04,25.33,18,19,24.83,27.21,22.25,23.16,0.0,0.0,,5,short_word,
Wechsel,10,10,12,11,23.8,22.7,43.75,37.27,15.24,18.51,31.19,30.63,20,23,23.25,40.65,16.51,30.39,10,8,9,10,1.7,2.25,-16.89,-6.0,24.12,27.98,33.46,39.82,18,19,1.94,-11.16,25.11,36.36,0.0,0.0,,7,long_word,
Wecker,9,11,13,10,84.78,96.09,97.77,92.6,20.16,5.13,4.02,6.35,20,23,91.0,95.52,14.78,5.67,9,9,11,8,-24.67,-27.0,0.91,4.13,51.11,42.03,44.32,27.73,18,19,-25.83,2.26,45.41,37.32,0.0,0.0,,6,short_word,
Weg,11,9,13,10,85.82,73.11,79.69,81.2,13.76,16.86,20.54,20.08,20,23,80.1,80.35,16.17,19.89,9,10,9,11,23.33,25.2,28.11,23.73,25.47,18.48,29.36,26.82,19,20,24.32,25.7,21.45,27.32,0.0,0.0,,3,short_word,
Wegweiser,11,9,12,10,71.64,74.67,84.92,70.2,23.94,21.04,16.73,30.03,20,22,73.0,78.23,22.15,24.27,10,8,10,9,29.5,11.25,43.8,40.0,26.53,11.88,32.31,30.22,18,19,21.39,42.0,22.75,30.53,0.0,0.0,,9,long_word,
Weh,10,11,12,10,21.1,19.82,41.33,29.6,17.16,28.47,35.46,16.4,21,22,20.43,36.0,23.2,28.45,10,9,9,11,-38.2,-55.11,-49.89,-50.82,27.3,38.3,29.91,38.41,19,20,-46.21,-50.4,33.16,33.96,0.0,0.0,,3,short_word,
Weide,10,10,11,12,79.1,80.5,91.0,90.0,18.57,17.93,9.65,18.37,20,23,79.8,90.48,17.78,14.54,9,10,7,12,42.0,44.7,43.29,39.75,27.22,31.27,23.54,30.42,19,19,43.42,41.05,28.64,27.44,0.0,0.0,nature_based_non_human,5,short_word,plant
Weiher,11,9,12,11,50.91,69.22,88.33,87.55,29.6,24.96,18.78,19.06,20,23,59.15,87.96,28.48,18.48,8,10,9,10,25.75,17.3,35.11,27.9,17.19,14.72,18.48,27.93,18,19,21.06,31.32,15.97,23.57,0.0,0.0,,6,short_word,
Weihnacht,11,8,12,11,61.73,57.63,80.25,89.27,31.29,32.67,28.52,17.48,19,23,60.0,84.57,31.04,23.81,10,8,8,11,35.0,42.75,78.13,71.45,49.41,45.79,23.29,31.37,18,19,38.44,74.26,46.6,27.73,0.0,0.0,,9,long_word,
Weihwasser,9,9,12,11,62.0,62.78,67.33,54.91,26.36,24.95,32.84,31.5,18,23,62.39,61.39,24.9,32.1,12,6,10,10,-14.83,0.0,24.4,3.3,53.82,23.96,30.96,59.65,18,20,-9.89,13.85,45.77,47.51,0.0,0.0,,10,long_word,
Wein,9,11,10,13,81.0,91.64,92.1,89.23,18.02,9.75,8.89,15.16,20,23,86.85,90.48,14.71,12.64,9,9,8,11,25.11,36.33,33.63,48.36,55.43,38.86,35.42,32.77,18,19,30.72,42.16,46.79,33.77,0.0,0.0,nature_based_non_human,4,short_word,plant
Weißkohl,9,11,12,10,82.22,84.36,92.5,87.1,14.61,19.8,13.02,14.87,20,22,83.4,90.05,17.24,13.83,9,10,9,10,14.33,-10.3,44.0,32.8,16.88,27.57,36.4,32.3,19,19,1.37,38.11,25.82,33.82,0.0,0.0,nature_based_non_human,8,long_word,plant
