key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,?,"[""return""]",0,[16.05680000007152],[null],0,23,23,4,1,Reflektor,9,emo_mid,long_word,Karussell,9,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,Sumpf,"[""return""]",0,[12.107899999976155],[null],0,24,24,32,1,Kanne,5,emo_mid,short_word,Roller,6,ima_high,short_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,Büste,"[""return""]",0,[5.1249000000953515],[null],0,25,25,20,1,Stufe,5,emo_mid,short_word,Büste,5,ima_high,short_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,Backofen,"[""return""]",0,[26.16309999990466],[null],0,26,26,15,1,Kuhstall,8,emo_mid,long_word,Backofen,8,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,Tagebuch,"[""return""]",0,[3.754799999952297],[null],0,27,27,1,1,Änderung,8,emo_mid,long_word,Tagebuch,8,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,Sandwich,"[""return""]",0,[7.318100000023833],[null],0,28,28,9,1,Vorrecht,8,emo_mid,long_word,Sandwich,8,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,Napf,"[""return""]",0,[4.268600000023753],[null],0,29,29,6,1,Tuch,4,emo_mid,short_word,Napf,4,ima_high,short_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,?,"[""return""]",0,[14.117500000000064],[null],0,30,30,35,1,Umwelt,6,emo_mid,short_word,Bahre,5,ima_high,short_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,Möbelstück,"[""return""]",0,[12.533299999952305],[null],0,31,31,12,1,Polohemd,8,emo_mid,long_word,Möbelstück,10,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,?,"[""return""]",0,[43.21939999997619],[null],0,32,32,19,1,Schimmer,8,emo_mid,long_word,Durchfall,9,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,Kugel,"[""return""]",0,[4.941599999904611],[null],0,33,33,14,1,Praxis,6,emo_mid,short_word,Kugel,5,ima_high,short_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,dreck,"[""return""]",0,[3.052899999976148],[null],0,34,34,0,1,Wodka,5,emo_mid,short_word,Dreck,5,ima_high,short_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,Schloss,"[""return""]",0,[2.694399999976099],[null],0,35,35,27,1,Nagellack,9,emo_mid,long_word,Schloss,7,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,
