key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima,Randomize
,,,TEST,2024-07-25_10h51.08.999,SNORE_recall_online,2023.1.3,MacIntel,61.34969325,Stinktier,"[""return""]",0,[14.294900000005953],[null],0,23,23,31,1,Eidechse,8,emo_mid,long_word,Stinktier,9,ima_high,long_word,TRUE
,,,TEST,2024-07-25_10h51.08.999,SNORE_recall_online,2023.1.3,MacIntel,61.34969325,Krähe,"[""return""]",0,[3.3108000000119375],[null],0,24,24,18,1,Busch,5,emo_mid,short_word,Krähe,5,ima_high,short_word,TRUE
,,,TEST,2024-07-25_10h51.08.999,SNORE_recall_online,2023.1.3,MacIntel,61.34969325,Seepferdchen,"[""return""]",0,[4.477699999988062],[null],0,25,25,22,1,Gorilla,7,emo_mid,long_word,Seepferd,8,ima_high,long_word,TRUE
,,,TEST,2024-07-25_10h51.08.999,SNORE_recall_online,2023.1.3,MacIntel,61.34969325,Walnuss,"[""return""]",0,[3.1939000000059536],[null],0,26,26,4,1,Lorbeer,7,emo_mid,long_word,Walnuss,7,ima_high,long_word,TRUE
,,,TEST,2024-07-25_10h51.08.999,SNORE_recall_online,2023.1.3,MacIntel,61.34969325,Seeigel,"[""return""]",0,[5.177099999994027],[null],0,27,27,34,1,Krokodil,8,emo_mid,long_word,Seeigel,7,ima_high,long_word,TRUE
,,,TEST,2024-07-25_10h51.08.999,SNORE_recall_online,2023.1.3,MacIntel,61.34969325,Otter,"[""return""]",0,[2.5629000000059534],[null],0,28,28,33,1,Mammut,6,emo_mid,short_word,Otter,5,ima_high,short_word,TRUE
,,,TEST,2024-07-25_10h51.08.999,SNORE_recall_online,2023.1.3,MacIntel,61.34969325,Amsel,"[""return""]",0,[4.7828000000119175],[null],0,29,29,9,1,Kuh,4,emo_mid,short_word,Amsel,5,ima_high,short_word,TRUE
,,,TEST,2024-07-25_10h51.08.999,SNORE_recall_online,2023.1.3,MacIntel,61.34969325,Wildkatze,"[""return""]",0,[6.34469999998808],[null],0,30,30,35,1,Raubtier,8,emo_mid,long_word,Wildkatze,9,ima_high,long_word,TRUE
,,,TEST,2024-07-25_10h51.08.999,SNORE_recall_online,2023.1.3,MacIntel,61.34969325,Getreide,"[""return""]",0,[2.9592999999821075],[null],0,31,31,21,1,Languste,8,emo_mid,long_word,Getreide,8,ima_high,long_word,TRUE
,,,TEST,2024-07-25_10h51.08.999,SNORE_recall_online,2023.1.3,MacIntel,61.34969325,Fisch,"[""return""]",0,[4.1294000000059725],[null],0,32,32,11,1,Raupe,5,emo_mid,short_word,Fisch,5,ima_high,short_word,TRUE
,,,TEST,2024-07-25_10h51.08.999,SNORE_recall_online,2023.1.3,MacIntel,61.34969325,Karpfen,"[""return""]",0,[12.961400000005966],[null],0,33,33,14,1,Maulwurf,8,emo_mid,long_word,Karpfen,7,ima_high,long_word,TRUE
,,,TEST,2024-07-25_10h51.08.999,SNORE_recall_online,2023.1.3,MacIntel,61.34969325,,"[""return""]",0,[7.795300000011906],[null],0,34,34,2,1,Hafer,5,emo_mid,short_word,Gras,4,ima_high,short_word,TRUE
,,,TEST,2024-07-25_10h51.08.999,SNORE_recall_online,2023.1.3,MacIntel,61.34969325,,"[""return""]",0,[3.2895999999940386],[null],0,35,35,28,1,Kolibri,7,emo_mid,long_word,Thunfisch,9,ima_high,long_word,TRUE
,,,TEST,2024-07-25_10h51.08.999,SNORE_recall_online,2023.1.3,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,
