key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Amsel
","[""return""]",0,[7.411999999999978],[null],0,23,23,9,1,Senf,4,emo_mid,short_word,Amsel,5,ima_high,short_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Wildkatze
","[""return""]",0,[3.3290000000000077],[null],0,24,24,35,1,Raubtier,8,emo_mid,long_word,Wildkatze,9,ima_high,long_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Larve
","[""return""]",0,[3.9490000000000123],[null],0,25,25,6,1,Rohr,4,emo_mid,short_word,Larve,5,ima_high,short_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Schlange
","[""return""]",0,[3.9610000000000127],[null],0,26,26,24,1,Walross,7,emo_mid,long_word,Schlange,8,ima_high,long_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Otter
","[""return""]",0,[2.531000000000006],[null],0,27,27,16,1,Mammut,6,emo_mid,short_word,Otter,5,ima_high,short_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"

","[""return""]",0,[5.2770000000001005],[null],0,28,28,19,1,Maulwurf,8,emo_mid,long_word,Karpfen,7,ima_high,long_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Faultier
","[""return""]",0,[3.843999999999994],[null],0,29,29,22,1,Zwiebel,7,emo_mid,long_word,Faultier,8,ima_high,long_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Tiger
","[""return""]",0,[9.112000000000023],[null],0,30,30,15,1,Barsch,6,emo_mid,short_word,Tiger,5,ima_high,short_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Vampir
","[""return""]",0,[3],[null],0,31,31,1,1,Araber,6,emo_mid,short_word,Vampir,6,ima_high,short_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Ratte
","[""return""]",0,[2.251000000000033],[null],0,32,32,12,1,Lurch,5,emo_mid,short_word,Ratte,5,ima_high,short_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Fledermaus
","[""return""]",0,[5.59699999999998],[null],0,33,33,29,1,Säugetier,9,emo_mid,long_word,Fledermaus,10,ima_high,long_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Getreide
","[""return""]",0,[2.8530000000000086],[null],0,34,34,20,1,Languste,8,emo_mid,long_word,Getreide,8,ima_high,long_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Weißkohl
","[""return""]",0,[3.3770000000000095],[null],0,35,35,33,1,Nashorn,7,emo_mid,long_word,Weißkohl,8,ima_high,long_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,
