key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Malkasten,"[""return""]",0,[6.143199999988099],[null],0,23,23,5,1,Entstehung,10,emo_mid,long_word,Malkasten,9,ima_high,long_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Möbelstück,"[""return""]",0,[4.1400999999940495],[null],0,24,24,12,1,Polohemd,8,emo_mid,long_word,Möbelstück,10,ima_high,long_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Parade,"[""return""]",0,[5.993900000005965],[null],0,25,25,11,1,Ironie,6,emo_mid,short_word,Parade,6,ima_high,short_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Ambulanz,"[""return""]",0,[6.040999999999997],[null],0,26,26,33,1,Triangel,8,emo_mid,long_word,Ambulanz,8,ima_high,long_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Karre,"[""return""]",0,[2.844900000005964],[null],0,27,27,26,1,Tube,4,emo_mid,short_word,Karren,6,ima_high,short_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Haus,"[""return""]",0,[4.245099999994068],[null],0,28,28,3,1,Kelch,5,emo_mid,short_word,Haus,4,ima_high,short_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Handy,"[""return""]",0,[3.3977999999821122],[null],0,29,29,7,1,Eis,3,emo_mid,short_word,Handy,5,ima_high,short_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Bahre,"[""return""]",0,[3.4265000000000043],[null],0,30,30,35,1,Umwelt,6,emo_mid,short_word,Bahre,5,ima_high,short_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Krug,"[""return""]",0,[4.442999999999984],[null],0,31,31,16,1,Hürde,5,emo_mid,short_word,Krug,4,ima_high,short_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Karusell,"[""return""]",0,[7.7781999999880895],[null],0,32,32,4,1,Reflektor,9,emo_mid,long_word,Karussell,9,ima_high,long_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Roller,"[""return""]",0,[24.82869999998806],[null],0,33,33,32,1,Kanne,5,emo_mid,short_word,Roller,6,ima_high,short_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Handtuch,"[""return""]",0,[3.9967999999821586],[null],0,34,34,21,1,Gegenteil,9,emo_mid,long_word,Handtuch,8,ima_high,long_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Napf,"[""return""]",0,[3.444000000000017],[null],0,35,35,6,1,Tuch,4,emo_mid,short_word,Napf,4,ima_high,short_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,
